,Text,Link,Year
0,AGES (Österr. Agentur für Gesundheit und Ernährungssicherheit GmbH) (Ang.),/kvsystem/kollektivvertrag/SI-2755_de?v=2020-01-01,2020
1,AGES (Österr. Agentur für Gesundheit und Ernährungssicherheit GmbH) (Ang.),/kvsystem/kollektivvertrag/SI-2755_de?v=2021-01-01,2021
2,AGES (Österr. Agentur für Gesundheit und Ernährungssicherheit GmbH) (Ang.),/kvsystem/kollektivvertrag/SI-2755_de?v=2016-01-01,2016
3,AGES (Österr. Agentur für Gesundheit und Ernährungssicherheit GmbH) (Ang.),/kvsystem/kollektivvertrag/SI-2755_de?v=2011-01-01,2011
4,AGES (Österr. Agentur für Gesundheit und Ernährungssicherheit GmbH) (Ang.),/kvsystem/kollektivvertrag/SI-2755_de?v=2012-01-01,2012
5,AGES (Österr. Agentur für Gesundheit und Ernährungssicherheit GmbH) (Ang.),/kvsystem/kollektivvertrag/SI-2755_de?v=2007-01-01,2007
6,AGES (Österr. Agentur für Gesundheit und Ernährungssicherheit GmbH) (Ang.),/kvsystem/kollektivvertrag/SI-2755_de?v=2015-01-01,2015
7,AGES (Österr. Agentur für Gesundheit und Ernährungssicherheit GmbH) (Ang.),/kvsystem/kollektivvertrag/SI-2755_de?v=2018-01-01,2018
8,AGES (Österr. Agentur für Gesundheit und Ernährungssicherheit GmbH) (Ang.),/kvsystem/kollektivvertrag/SI-2755_de?v=2014-01-01,2014
9,AGES (Österr. Agentur für Gesundheit und Ernährungssicherheit GmbH) (Ang.),/kvsystem/kollektivvertrag/SI-2755_de?v=2008-01-01,2008
10,AGES (Österr. Agentur für Gesundheit und Ernährungssicherheit GmbH) (Ang.),/kvsystem/kollektivvertrag/SI-2755_de?v=2013-01-01,2013
11,AGES (Österr. Agentur für Gesundheit und Ernährungssicherheit GmbH) (Ang.),/kvsystem/kollektivvertrag/SI-2755_de?v=2017-01-01,2017
12,AGES (Österr. Agentur für Gesundheit und Ernährungssicherheit GmbH) (Ang.),/kvsystem/kollektivvertrag/SI-2755_de?v=2010-01-01,2010
13,AGES (Österr. Agentur für Gesundheit und Ernährungssicherheit GmbH) (Ang.),/kvsystem/kollektivvertrag/SI-2755_de?v=2006-01-01,2006
14,AGES (Österr. Agentur für Gesundheit und Ernährungssicherheit GmbH) (Ang.),/kvsystem/kollektivvertrag/SI-2755_de?v=2019-01-01,2019
15,AGES (Österr. Agentur für Gesundheit und Ernährungssicherheit GmbH) (Ang.),/kvsystem/kollektivvertrag/SI-2755_de?v=2009-01-01,2009
16,APA (Ang.),/kvsystem/kollektivvertrag/SI-2009_de?v=2010-01-01,2010
17,APA (Ang.),/kvsystem/kollektivvertrag/SI-2009_de?v=1997-01-01,1997
18,APA (Ang.),/kvsystem/kollektivvertrag/SI-2009_de?v=2021-01-01,2021
19,APA (Ang.),/kvsystem/kollektivvertrag/SI-2009_de?v=1998-01-01,1998
20,APA (Ang.),/kvsystem/kollektivvertrag/SI-2009_de?v=2000-01-01,2000
21,APA (Ang.),/kvsystem/kollektivvertrag/SI-2009_de?v=2016-01-01,2016
22,APA (Ang.),/kvsystem/kollektivvertrag/SI-2009_de?v=2011-01-01,2011
23,APA (Ang.),/kvsystem/kollektivvertrag/SI-2009_de?v=2012-01-01,2012
24,APA (Ang.),/kvsystem/kollektivvertrag/SI-2009_de?v=2009-01-01,2009
25,APA (Ang.),/kvsystem/kollektivvertrag/SI-2009_de?v=2007-01-01,2007
26,APA (Ang.),/kvsystem/kollektivvertrag/SI-2009_de?v=2004-01-01,2004
27,APA (Ang.),/kvsystem/kollektivvertrag/SI-2009_de?v=2015-01-01,2015
28,APA (Ang.),/kvsystem/kollektivvertrag/SI-2009_de?v=2003-01-01,2003
29,APA (Ang.),/kvsystem/kollektivvertrag/SI-2009_de?v=2006-01-01,2006
30,APA (Ang.),/kvsystem/kollektivvertrag/SI-2009_de?v=2018-01-01,2018
31,APA (Ang.),/kvsystem/kollektivvertrag/SI-2009_de?v=2017-01-01,2017
32,APA (Ang.),/kvsystem/kollektivvertrag/SI-2009_de?v=2014-01-01,2014
33,APA (Ang.),/kvsystem/kollektivvertrag/SI-2009_de?v=2008-01-01,2008
34,APA (Ang.),/kvsystem/kollektivvertrag/SI-2009_de?v=2001-01-01,2001
35,APA (Ang.),/kvsystem/kollektivvertrag/SI-2009_de?v=2005-01-01,2005
36,APA (Ang.),/kvsystem/kollektivvertrag/SI-2009_de?v=2020-01-01,2020
37,APA (Ang.),/kvsystem/kollektivvertrag/SI-2009_de?v=1999-01-01,1999
38,APA (Ang.),/kvsystem/kollektivvertrag/SI-2009_de?v=2013-01-01,2013
